boro,boro_name,NEIGHBORHOOD,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,gini_p_value,ci_p_value,ki_p_value,mki_p_value,accuracy,uniformity,vertical_equity,BORO,BORO_NAME,NBHD,NBHD_NAME
3,Brooklyn,3020,prediction,GROSSCON,392,1.0221,0.8583537497562943,0.8502301611219475,8.932552554695958,1.0226085875257018,-0.0907558392650235,1.1457458748318845,0.19391398857067152,0.1553493687947371,-0.03856461977593453,0.8011251273815156,0,0,0,0,TRUE,TRUE,TRUE,3,Brooklyn,BAY RIDGE,BAY RIDGE
3,Brooklyn,3040,prediction,GROSSCON,15,1.0291,0.9062345956178636,0.909298469387755,7.490656516689058,1.0140242415607565,-0.1407552960792202,1.2402641204985017,0.14899427107526425,0.11397710996300346,-0.03501716111226078,0.7649764594333165,0,1e-7,0.0056774,1e-7,TRUE,TRUE,TRUE,3,Brooklyn,BENSONHRST,BENSONHURST
3,Brooklyn,3060,prediction,GROSSCON,24,0.9925,0.94271112417992,0.9586610218180832,6.9739556530100275,1.0189875117305447,-0.08179464236662418,1.129680004329554,0.23053970267235768,0.20568582869213578,-0.024853873980221985,0.8921926518854569,0,0,0.0254019,0,TRUE,TRUE,TRUE,3,Brooklyn,BOERUM HIL,BOERUM HILL
3,Brooklyn,3070,prediction,GROSSCON,28,1.0111,0.8895722188446672,0.8374354732481653,9.434189228689254,1.0191326679907147,-0.13751380694322105,1.2356304959636812,0.17330414111761133,0.14467223262733062,-0.02863190849028071,0.834788088122776,0,0,0.0089548,0,TRUE,TRUE,TRUE,3,Brooklyn,BOROUGH PK,BOROUGH PARK
3,Brooklyn,3080,prediction,GROSSCON,134,0.9973,0.827412478559902,0.8666775650048502,10.814944007313681,1.027399399118246,-0.09381497278318869,1.1362770562287168,0.21627378357863095,0.1772772321571665,-0.03899655142146457,0.8196889573197542,0,0,0,0,TRUE,TRUE,TRUE,3,Brooklyn,BRIGHTON,BRIGHTON BEACH
3,Brooklyn,3090,prediction,GROSSCON,285,0.9916,0.9512416544205913,0.931252363190139,10.534382960984647,1.0342797218600073,-0.0585628038140736,1.0914757485694018,0.3356590803278618,0.30701087272869637,-0.02864820759916541,0.9146508785903157,0,0,0,0,TRUE,TRUE,FALSE,3,Brooklyn,BKLYN HTS,BROOKLYN HEIGHTS
3,Brooklyn,3140,prediction,GROSSCON,29,0.9582,0.981196551915228,0.9709008867965974,5.675846311293372,1.016165807809128,-0.06907775245673525,1.0979152421688512,0.23871498369341163,0.2196344109289352,-0.019080572764476438,0.9200696476221946,0,0,0.0040231,0,TRUE,TRUE,TRUE,3,Brooklyn,CARLL GRDN,CARROLL GARDENS
3,Brooklyn,3150,prediction,GROSSCON,210,0.9794,0.8700084685521464,0.7718886662566643,10.186559867141751,1.0275381473030378,-0.14114546319117202,1.1518441388760516,0.1836369464359233,0.14848940175322708,-0.03514754468269622,0.8086030868795776,0,0,0,0,TRUE,TRUE,TRUE,3,Brooklyn,CLINTON HL,CLINTON HILL
3,Brooklyn,3160,prediction,GROSSCON,24,0.9652,0.9728849647118548,0.9753656599277569,6.020923096621749,1.018184634182492,-0.04089060590158756,1.0540678505547891,0.3133796189521849,0.3023725276955974,-0.011007091256587505,0.9648761738450294,0,0,0.3248232,0,TRUE,TRUE,TRUE,3,Brooklyn,COBBLE HL,COBBLE HILL
3,Brooklyn,3170,prediction,GROSSCON,89,1.0056,0.8459333152284284,0.8061916342912916,5.882971212891953,1.005908991060765,-0.04538731391927345,1.054015515823002,0.11682118256748136,0.09901959311744485,-0.017801589450036535,0.847616767278027,0,0,6.85e-5,0,TRUE,TRUE,TRUE,3,Brooklyn,CONEY ISL,CONEY ISLAND
