boro,boro_name,decile,cutoff,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,gini_p_value,ci_p_value,ki_p_value,mki_p_value,accuracy,uniformity,vertical_equity
4,Queens,3,"$271,550",prediction,GROSSCON,562,1.0281,0.049930806961658664,0.07873434767651898,8.452192777314963,1.0002828746052812,1.0672419715167858,0.3432036182051534,0.01983363687474985,0.015258380335013177,-0.004575256539736642,0.7693183268086632,0,0,1.4e-6,0,TRUE,TRUE,TRUE
4,Queens,4,"$300,000",prediction,GROSSCON,562,1.0259,0.059651713635400595,0.08415717392315707,7.347717706116276,1.0000690531599952,1.0783196031459887,0.32190428630424384,0.016377349800558823,0.015134597332957588,-0.0012427524676015063,0.9241176086036234,0,0,0.1524326,0,TRUE,TRUE,TRUE
4,Queens,5,"$325,000",prediction,GROSSCON,562,1.0131,0.06142445554904072,0.07853273624087802,6.822310249455262,1.000021098808396,1.0939481139464358,0.30399179940857335,0.01408821684521345,0.013688353928847471,-3.9986291636631477e-4,0.9716172088519489,0,0,0.6318049,0,TRUE,TRUE,TRUE
4,Queens,6,"$350,000",prediction,GROSSCON,562,0.9905,0.049803864834403196,0.049223149805627364,6.924942126171571,1.0000257570457896,1.1301651955433782,0.28111764702190273,0.012750054141581143,0.01203977295358713,-7.102811879937134e-4,0.944291908088688,0,0,0.372446,0,TRUE,TRUE,TRUE
4,Queens,7,"$380,000",prediction,GROSSCON,562,0.9783,0.03881830860054596,0.044295709230403206,7.338204335102298,1.0001613631894535,1.1114777080434297,0.2671227404023675,0.01482191837029857,0.011184431510014912,-0.003637486860283688,0.754587309860462,0,0,2.1e-6,0,TRUE,TRUE,TRUE
4,Queens,8,"$425,000",prediction,GROSSCON,562,0.9667,0.10617816530499517,0.12467392193152167,7.5289320551425485,0.9999659106594256,0.9646459552979469,0.35415156114268564,0.019793523701283004,0.020590159709917337,7.966360086342136e-4,1.0402473061723017,0,0,0.4525393,0,TRUE,TRUE,TRUE
4,Queens,9,"$505,600",prediction,GROSSCON,561,0.9518,0.18815143982464141,0.19686435315537332,7.348067490655899,1.0002516777388089,0.6542385030736854,0.5160122496726071,0.029743789455074957,0.02692882291158227,-0.002814966543492724,0.9053595189091702,0,0,0.0114019,0,TRUE,TRUE,TRUE
4,Queens,10,"$1,500,000",prediction,GROSSCON,561,0.9405,0.7876850185785518,0.6449298951273522,9.041818707104193,1.0016781466556108,0.0795318339122286,0.8983997605470244,0.13224771722203996,0.12798066926090315,-0.004267047961136817,0.9677344301227331,0,0,0.0633492,0,TRUE,TRUE,TRUE
5,Staten Island,1,"$175,000",prediction,GROSSCON,18,1.1002,0.4246284932782656,0.3690378112113737,9.903909143221552,1.007401506370958,-0.0017484226706860066,0.8853966897646848,0.0843326462416111,0.05299803146475484,-0.03133461477685624,0.6284402758205496,0,0.0197041,0.0926572,0.0197041,FALSE,TRUE,TRUE
5,Staten Island,2,"$189,200",prediction,GROSSCON,18,1.0466,0.05295216931028994,0.12636890537854922,7.541680960062415,0.9999565571351037,1.1556509912800952,0.2878595584298344,0.015043689757679442,0.019783822473983078,0.004740132716303544,1.3150910975071013,0,0.0900195,0.6798924,0.0900195,TRUE,TRUE,TRUE
5,Staten Island,3,"$211,200",prediction,GROSSCON,17,1.0853,0.20315956017754996,0.19849574606211773,7.661984267163935,0.9994636054343893,0.9073782363593451,0.35926756770588525,0.02199209601873537,0.028378317118166085,0.006386221099430684,1.2903871051667832,0,0.0189249,0.5409048,0.0189249,TRUE,TRUE,TRUE
5,Staten Island,4,"$229,000",prediction,GROSSCON,17,1.0276,0.044967833757262904,0.039780097203410095,4.770149708384668,1.000256121663872,0.9029680793956322,0.5464857135835921,0.01376100880704576,0.005216546163386311,-0.008544462643659352,0.3790816673785912,0,0.3082652,0.0763509,0.3082652,TRUE,FALSE,TRUE
5,Staten Island,5,"$248,900",prediction,GROSSCON,17,0.988,0.08634368219948226,0.133803369144454,4.127709099733983,1.000234232234565,0.7366245094703503,,0.01366566368217633,0.010460403494692481,-0.0032052601874837153,0.7654515534679622,5e-7,0.0106661,0.4244394,0.0106661,TRUE,FALSE,TRUE
5,Staten Island,6,"$264,900",prediction,GROSSCON,17,0.9686,0.03480179526641912,0.09972549733977396,3.5916619013084405,1.0001622055105968,0.9642883476908665,0.42524639954027027,0.010965901160297336,0.006391902921425593,-0.0045739982388717905,0.5828889781140599,0,0.2587726,0.4215969,0.2587726,TRUE,FALSE,TRUE
5,Staten Island,7,"$285,000",prediction,GROSSCON,17,0.9169,6.466336277823193e-4,0.012644593265583289,5.433457151080141,1.0007044161651422,1.0069551458881831,0.5355346585651622,0.016281625214408308,0.0014843601444445437,-0.014797265069963688,0.09116781186750995,0,0.8548787,0.086866,0.8548787,TRUE,TRUE,TRUE
5,Staten Island,8,"$327,600",prediction,GROSSCON,17,0.95,0.12191588949224688,0.16276930525296537,6.254408532306252,1.0000132031898386,0.896351080380086,0.47802033066181215,0.02050017481094082,0.01795238016907105,-0.0025477946418697222,0.8757183943373,0,0.14701,0.8252755,0.14701,TRUE,TRUE,TRUE
5,Staten Island,9,"$365,000",prediction,GROSSCON,17,0.9444,0.04642565886823696,0.08326533742331287,7.368666972779692,1.0005411956544275,0.9637845679946163,0.4619853924318165,0.0230313293818797,0.012547201103211374,-0.010484128278668318,0.5447884008416379,0,0.3800771,0.4566111,0.3800771,TRUE,TRUE,TRUE
5,Staten Island,10,"$645,000",prediction,GROSSCON,17,0.998,0.5894815216681755,0.35456957236098335,9.412753018426184,1.0073742849893317,-0.034803032194464185,1.0814854853250573,0.08911840127438768,0.055387826132860606,-0.03373057514152709,0.6215083006519176,5e-7,0.0081004,0.0298149,0.0081004,TRUE,TRUE,TRUE
