block,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,gini_p_value,ci_p_value,ki_p_value,mki_p_value,accuracy,uniformity,vertical_equity
566,prediction,GROSSCON,46,0.9419,0.8278455002864269,0.7501527018866041,23.974182217034183,1.0711174762946505,-0.2385773757877171,1.1693552005211207,0.2562426006538302,0.2144188185803404,-0.04182378207348985,0.8367805276453946,0,0,0.0092431,0,TRUE,FALSE,FALSE
567,prediction,GROSSCON,7,0.9861,0.9445902933265987,0.9999999999999996,5.830733318534135,0.9977036538737732,0.01261872704183056,1.1196857164274414,0.22526790750141001,0.22378905569297924,-0.001478851808430786,0.9934351420722389,0.005446,0.0288122,0.963362,0.0288122,TRUE,TRUE,TRUE
568,prediction,GROSSCON,22,0.9798,0.9672591726478779,0.9052378157280816,6.546081498669548,1.0182818575448105,-0.05085185453826381,1.1309829239342581,0.25689272577754335,0.2260514637558264,-0.030841262021716956,0.879944977311565,2e-7,5.6e-6,0.0066091,5.6e-6,TRUE,TRUE,TRUE
569,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,
572,prediction,GROSSCON,7,0.9486,0.5224175402676305,0.4284297520661157,5.299415942321304,1.0019214036084148,0.10447330474245388,1.0804665109325968,0.06190713929106348,0.047541767418925136,-0.014365371872138355,0.7679529043556986,0.0019159,0.0481209,0.383975,0.0481209,TRUE,TRUE,TRUE
573,prediction,GROSSCON,53,1.0029,0.9723849908068275,0.8390431503473175,9.017470761336584,1.0322236077766274,-0.0321542675918047,1.0553824926719333,0.394342499557613,0.36479865520258475,-0.029543844355028243,0.9250807498857683,0,0,0.0148064,0,TRUE,TRUE,TRUE
574,prediction,GROSSCON,12,0.9884,0.931937259862954,0.760655134339345,14.185890646382035,1.061027599422864,-0.08323525706518942,1.2141286282429895,0.4025875747374103,0.35129621934792543,-0.05129135538948489,0.8725957813702028,2.142e-4,0.0034997,0.1694945,0.0034997,TRUE,TRUE,FALSE
575,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
576,prediction,GROSSCON,36,1.0191,0.8816255024782738,0.9051620862353428,12.339647335567996,1.0461066590278254,-0.04758408687892434,1.1015314312757714,0.3663711993099456,0.3275138303967161,-0.03885736891322932,0.893939892146499,0,0,0.0659328,0,TRUE,TRUE,TRUE
577,prediction,GROSSCON,23,0.9961,0.9196749832749677,0.8390704822759298,10.796497147341345,1.0353607235253977,-0.029442760637614113,1.091341723493894,0.38989668560398333,0.3575212834496403,-0.032375402154343154,0.9169641514028496,8.1e-6,5.9e-6,0.2968672,5.9e-6,TRUE,TRUE,TRUE
584,prediction,GROSSCON,8,0.9567,0.9501386775148084,0.9529478458049888,10.351276437317697,1.0281419071890439,-0.09415800290892207,1.0789009424980778,0.2814814555382436,0.2542531835423403,-0.027228271995903375,0.9032679721517073,5.564e-4,3.432e-4,0.3496435,3.432e-4,TRUE,TRUE,TRUE
585,prediction,GROSSCON,9,1.0197,0.9276807291742928,0.8168067226890757,6.234717943122489,1.013287550020015,-0.06645065479236871,1.1127491667808516,0.19020213363279054,0.16247377962894308,-0.027728354003847554,0.8542163882484063,8.82e-5,0.0012032,0.1563162,0.0012032,TRUE,TRUE,TRUE
586,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
588,prediction,GROSSCON,5,,,,,,,,,,,,,,,,,,
589,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,
590,prediction,GROSSCON,9,1.0694,0.39287680920473245,0.7061648188687242,14.563822881729166,1.1212205604177428,-0.30616972449548413,1.3379777109399875,0.2515358361774744,0.11645509862388627,-0.13508073755358818,0.46297617227677956,0.0482766,0.0047305,0.2374124,0.0047305,TRUE,TRUE,FALSE
591,prediction,GROSSCON,8,0.9167,0.9072711066813097,0.8185941043083904,18.476905582248836,1.0629640509559564,-0.1243202229982593,1.1625351507771065,0.3417333909616356,0.2846803682892884,-0.0570530226723472,0.833048147528691,8.38e-5,9.46e-4,0.1945689,9.46e-4,TRUE,FALSE,FALSE
592,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,
595,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,
602,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
603,prediction,GROSSCON,3,,,,,,,,,,,,,,,,,,
607,prediction,GROSSCON,13,0.9988,0.8247722217672633,0.5532408988457074,12.730055531300522,1.032443399733504,-0.2153833058511951,1.343331597787738,0.17997384172358163,0.11159081480036258,-0.06838302692321906,0.6200390775219032,5.7e-6,0.0016723,0.0017616,0.0016723,TRUE,TRUE,FALSE
608,prediction,GROSSCON,47,1.0259,0.932335377930222,0.7693482909842289,10.431743008084736,1.0456066264595407,-0.05878173116407002,1.0756033413633408,0.37071047536782553,0.32904662834287923,-0.04166384702494634,0.8876108181631319,0,0,0.0248508,0,TRUE,TRUE,FALSE
609,prediction,GROSSCON,17,1.0162,0.9771300936886598,0.9043637062668208,9.903992305901381,1.0308062904890907,-0.06783322955364769,1.1392956194311026,0.34655472380679603,0.3201242824010996,-0.026430441405696392,0.9237337147929588,8.1e-6,4.57e-5,0.0843117,4.57e-5,TRUE,TRUE,FALSE
610,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
611,prediction,GROSSCON,14,0.9904,0.41526053949227754,0.3222345936002324,13.084109919107934,1.0262946524690875,-0.7820155168978679,2.7014812642311288,0.11125933444500838,0.02633278860941332,-0.08492654583559502,0.23667936484402297,0,0.0196388,8e-7,0.0196388,TRUE,TRUE,TRUE
612,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
613,prediction,GROSSCON,5,,,,,,,,,,,,,,,,,,
614,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,
615,prediction,GROSSCON,10,1.0312,0.9220694926937086,0.29999242539009247,23.24507993097824,1.2022023281472591,-0.12991457950034355,1.3445741569282372,0.575783462745158,0.46624690882115427,-0.1095365539240037,0.8097608545376292,0.0317372,0.1082111,0.1899969,0.1082111,TRUE,FALSE,FALSE
616,prediction,GROSSCON,20,0.9901,0.8000088272746746,0.8530344323506582,16.09536906662591,1.0649996775441937,-0.2561044597160504,1.3733673569152456,0.2441560884855844,0.18363895318718543,-0.06051713529839902,0.7521375130402609,0,1.6e-6,0.0065032,1.6e-6,TRUE,FALSE,FALSE
619,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
620,prediction,GROSSCON,27,1.0338,0.6996408240319961,0.6485370792771888,12.291982490235622,1.0437669129271012,-0.2989557794281409,1.4502470310374538,0.1793219563709423,0.09641640402160216,-0.08290555234934015,0.5376720507228732,0,1.4e-6,1.4e-5,1.4e-6,TRUE,TRUE,FALSE
621,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,
622,prediction,GROSSCON,16,0.9166,0.9442628032414213,0.6306228373702422,18.371557722847683,1.0714718205869926,-0.19801071967321457,1.1570279728918373,0.3086313172617662,0.24350139209169935,-0.06512992517006694,0.7889717552064657,6.36e-5,0.0012156,0.0021776,0.0012156,TRUE,FALSE,FALSE
623,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
624,prediction,GROSSCON,13,0.9633,0.8802688801759924,0.80159218025484,13.495813348215583,1.0405349493929452,-0.16055331330404393,1.1207561912660577,0.23739623405547677,0.17647433988351718,-0.06092189417195961,0.7433746393899285,3e-7,6.7e-6,0.0013009,6.7e-6,TRUE,TRUE,FALSE
625,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
626,prediction,GROSSCON,29,1.0084,0.8832558546088037,0.9410362182439556,8.032455739040206,1.0273706294017169,-0.04429479762416091,1.0435958807149281,0.29561744171184035,0.26494027245195967,-0.03067716925988068,0.8962267954074784,0,0,0.1431002,0,TRUE,TRUE,TRUE
628,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
629,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
630,prediction,GROSSCON,6,0.9518,0.4663522786357855,0.6588235294117647,21.296010692656235,1.093010415174466,-0.4171303151746535,1.956054844237997,0.2437522123893805,0.09043290590014876,-0.15331930648923184,0.37100342603531833,0.0042501,0.1224514,0.0609538,0.1224514,TRUE,FALSE,FALSE
632,prediction,GROSSCON,15,1.0228,0.9493002050315551,0.9007187579861997,12.848802976891758,1.039673296256245,-0.05568399160420254,1.1347479678792416,0.3489760790541106,0.30703868796879974,-0.04193739108531071,0.8798273188266066,7.193e-4,0.0029301,0.1269185,0.0029301,TRUE,TRUE,FALSE
633,prediction,GROSSCON,5,,,,,,,,,,,,,,,,,,
634,prediction,GROSSCON,8,0.9816,0.9663116997935421,0.6247848537005165,8.463674800423712,1.0228234535117775,-0.04128054944894798,1.0719071801618072,0.31851085832471554,0.2900345619399882,-0.02847629638472741,0.9105955240128852,0.0021088,0.0029555,0.3028125,0.0029555,TRUE,TRUE,TRUE
636,prediction,GROSSCON,15,1.0084,0.8219057252027905,0.8735645449823993,8.749276076003916,1.0512450990066309,-0.08201417376960107,1.1277319987309493,0.3190508272887155,0.2575784952589856,-0.06147233202972971,0.8073274639275507,1.693e-4,4.904e-4,0.1732526,4.904e-4,TRUE,TRUE,FALSE
