"","boro","NEIGHBORHOOD","decile","COOPUNITKEY","GROSSCON","prediction","geometry"
"155",3,3150,8,"301902000100000005-0000     5H",690000,705522.314177738,c(-73.9681310607595, 40.6922421297711)
"156",1,1201,2,"101335002200000001-0000   1007",435000,448453.361865948,c(-73.969992974262, 40.7493465828214)
"157",1,1120,7,"100562004000000001-0000     2E",1200000,916042.030920805,c(-73.9927747058032, 40.7325312440141)
"158",4,4240,8,"408510003100000054-5000   H102",399900,407166.958908972,c(-73.7167305041909, 40.7455469034969)
"159",4,4440,6,"40763200020000004-16000 DUPLEX",350000,338509.11508838,c(-73.7556537025174, 40.7435606899748)
"160",4,4040,7,"400557000300000011-0000    10D",370000,468743.559582391,c(-73.9317116636673, 40.7626039028715)
"161",1,1271,10,"101589001900000001-0000     7E",2995000,3186032.74562761,c(-73.9471879405469, 40.7711681698444)
"162",1,1272,3,"101602006000000001-0000     4A",520000,668550.706566526,c(-73.9544557037989, 40.7879965029324)
"163",3,3400,5,"305392000100000001-0000     6C",465000,434908.574013943,c(-73.9702321935515, 40.6386017375827)
"164",3,3201,3,"300086001100000004-0000    10K",315000,365571.288058848,c(-73.9878532443117, 40.6978012627673)
"165",1,1282,6,"101869000100000001-0000    14B",825000,793246.675708865,c(-73.9722902194902, 40.7959858781654)
"166",1,1220,2,"100891006600000001-0000     7F",475000,619490.98316987,c(-73.9786468424518, 40.7474039286235)
"167",2,2300,4,"205722044500000001-0000     4U",215000,215662.928278986,c(-73.9168597790226, 40.878087619241)
"168",4,4210,4,"405193000900000002-0000     6M",300000,326647.627794132,c(-73.8204330882447, 40.7539953086005)
"169",4,4220,2,"402215000100000001-0000    12L",225000,245726.221619676,c(-73.844887377177, 40.7224968875754)
"170",3,3480,3,"308806014000000002-0000     3G",329000,288559.474503021,c(-73.9329635275519, 40.5869031276424)
"171",3,3420,10,"300983003200000001-0000      1",1525000,1367108.66319276,c(-73.9793490366125, 40.6706215192055)
"172",1,1291,1,"102180037100000001-0000     8G",295000,337256.330800664,c(-73.9354470997738, 40.855302249188)
"173",1,1110,2,"100902000900000001-0000     5A",480000,497651.513322998,c(-73.9833279330039, 40.7374761303737)
"174",1,1202,10,"101011005200000001-0000    904",2800000,1814520.51673051,c(-73.9779351063439, 40.766055297675)
"175",2,2290,1,"204319001500000001-0000     1E",135000,138124.887334392,c(-73.8663632749229, 40.8557970358328)
"176",1,1270,9,"101386003700000001-0000     6B",2475000,1003060.67201703,c(-73.9643066753217, 40.7709817192478)
"177",1,1110,10,"100874006900000001-0000    10F",3600000,3001884.84731462,c(-73.9871782869196, 40.7370914000306)
