bbl,GROSSCON,COOPUNITKEY,geometry
4020860050,530000,402086005000000006-0000     4E,"c(-73.8598809796084, 40.7322696134384)"
4059380005,525000,405938000500000001-0000    14N,"c(-73.7758752818077, 40.7850229651994)"
4081780008,325000,408178000800000001-0000     5F,"c(-73.7444800674922, 40.7649842835495)"
1013350022,340000,101335002200000001-0000    801,"c(-73.969992974262, 40.7493465828214)"
4005570003,630000,400557000300000009-0000     9D,"c(-73.9317116636673, 40.7626039028715)"
4020860050,500000,402086005000000001-0000     2J,"c(-73.8598809796084, 40.7322696134384)"
1009280001,385000,100928000100000001-0000     5B,"c(-73.9807845188557, 40.7372107763318)"
2059530240,280000,205953024000000003-0000     4T,"c(-73.9054208880704, 40.9092522950817)"
4077420003,324800,40774200030000002-14000  134A1,"c(-73.7533622250934, 40.7408888582161)"
3086800001,370000,308680000100000002-0000     6J,"c(-73.9671095231509, 40.5754784913281)"
1013340041,310000,101334004100000001-0000    414,"c(-73.9714800907511, 40.7492114132245)"
3076810010,295000,307681001000000005-0000     6N,"c(-73.9470550448177, 40.6149381028574)"
4064940003,300000,4064940003000004-189000      A,"c(-73.8291927436338, 40.729559793319)"
4096310232,235000,409631023200000001-0000     2L,"c(-73.8267299583887, 40.7112277958349)"
4092090055,250000,409209005500000001-0000     6F,"c(-73.8359211950246, 40.7038048261157)"
1014460023,650000,101446002300000001-0000  A1400,"c(-73.9567296656672, 40.7676355726799)"
4077320002,210000,407732000200000010-0000   104D,"c(-73.760419107419, 40.7391261677651)"
1009430001,550000,100943000100000001-0000     3J,"c(-73.9739854000801, 40.7467433901331)"
1011970052,1050000,101197005200000001-0000     9B,"c(-73.9721632239374, 40.784515659748)"
1013960033,1800000,101396003300000001-0000  0034A,"c(-73.965765982757, 40.7632535073459)"
1006260012,925000,100626001200000001-0000     4P,"c(-74.0058821651382, 40.7384444969545)"
3024470010,410000,302447001000000001-0000     20,"c(-73.9579024543951, 40.7098189343084)"
4021550001,430000,402155000100000001-0000     2E,"c(-73.848285504168, 40.7283469399775)"
2033430076,225000,203343007600000001-0000     1C,"c(-73.8765798459573, 40.8758498315655)"
4043740049,290000,404374004900000001-0000     5H,"c(-73.8295657095697, 40.7698226978259)"
4064930003,400000,406493000300000003-9000      A,"c(-73.8313227270786, 40.7289345752061)"
3007390034,595000,300739003400000001-0000     1B,"c(-74.0051206927974, 40.6471598371679)"
4105240001,260000,410524000100000001-4000     2C,"c(-73.766786511428, 40.7198551644555)"
2057220445,500000,205722044500000001-0000     4E,"c(-73.9168597790226, 40.878087619241)"
4083740056,253000,40837400560000002-20000   1343,"c(-73.7248960232409, 40.7560788507832)"
4014380001,235000,401438000100000005-0000     5T,"c(-73.8772959294701, 40.7554665866829)"
5029860012,264900,502986001200000007-0000     2B,"c(-74.0740941930492, 40.6081497779575)"
2031730013,240000,203173001300000001-0000     5L,"c(-73.8999795040673, 40.8608465026821)"
4012750020,460000,401275002000000001-0000    320,"c(-73.8903174050526, 40.7499249424025)"
4042850010,340000,404285001000000009-0000     5C,"c(-73.827187333436, 40.7746679600832)"
3066190001,300000,306619000100000001-0000    C14,"c(-73.9857443756585, 40.607140152278)"
2031730013,195000,203173001300000001-0000     6I,"c(-73.8999795040673, 40.8608465026821)"
1013650020,425000,101365002000000001-0000    5LN,"c(-73.9628523541684, 40.7553462616477)"
4019460001,215000,401946000100000002-0000     4B,"c(-73.8586287587555, 40.7376258541913)"
1013350022,335000,101335002200000001-0000   1717,"c(-73.969992974262, 40.7493465828214)"
4079140002,225000,4079140002000002-162000   2622,"c(-73.7438653541695, 40.7326859961419)"
1014440008,525000,101444000800000001-0000     8C,"c(-73.9587364788459, 40.7666784790225)"
4039070960,310000,403907096000000002-0000     6S,"c(-73.852322970255, 40.7001350625872)"
3053760058,460000,305376005800000001-0000     5S,"c(-73.9715782902976, 40.6392552280722)"
2032260053,170000,203226005300000005-0000    11D,"c(-73.9077536434926, 40.864591539613)"
1005320020,875000,100532002000000001-0000   0916,"c(-73.9959366120402, 40.7271279257018)"
1014460023,1100000,101446002300000001-0000  C3105,"c(-73.9567296656672, 40.7676355726799)"
