NEIGHBORHOOD,block,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
1100,825,prediction,GROSSCON,5,0.9787,0.9560999812789888,0.9999999999999996,5.573291243142273,1.010714462721136,-0.18208034395352796,1.2902653246192328,0.11524197195838984,0.09474368871678181,-0.02049828324160803,0.8221283192810229,TRUE,TRUE,TRUE
1100,827,prediction,GROSSCON,4,,,,,,,,,,,,,,
1100,842,prediction,GROSSCON,53,0.9943,0.8135890663084503,0.6977923786896456,9.7348863629251,1.024496887170595,-0.09636956627849405,1.1741310085833063,0.19892325467829688,0.1613971724509285,-0.03752608222736839,0.8113539702130029,TRUE,TRUE,TRUE
1100,846,prediction,GROSSCON,2,,,,,,,,,,,,,,
1100,847,prediction,GROSSCON,8,1.0035,0.8440134716974111,0.8185941043083904,12.223749164864655,1.0247990779684053,-0.052585848702006104,1.036460747336431,0.22972393151659753,0.2019433434960971,-0.02778058802050043,0.8790696823047656,TRUE,TRUE,TRUE
1100,848,prediction,GROSSCON,4,,,,,,,,,,,,,,
1100,849,prediction,GROSSCON,1,,,,,,,,,,,,,,
1100,850,prediction,GROSSCON,3,,,,,,,,,,,,,,
1100,851,prediction,GROSSCON,6,1.0132,0.7494516283375672,0.36,15.660999555586743,1.0524652399909784,-0.13634268192193413,1.1959086061845783,0.2474747474747474,0.1811784830354123,-0.06629626443933509,0.7321089722655438,TRUE,FALSE,FALSE
1100,857,prediction,GROSSCON,9,1.0127,0.6383593292573827,0.3660758421015466,7.690518687545364,1.0097182814579122,-0.21486218400835366,1.258470649595107,0.0724832214765101,0.04839204667390086,-0.024091174802609236,0.6676310142973356,TRUE,TRUE,TRUE
1110,871,prediction,GROSSCON,41,1.0133,0.765260298655002,0.6233266395677451,12.16882553385036,1.0394749989470211,-0.13318948736999725,1.1831453485927184,0.20961482325485015,0.14439588394519862,-0.06521893930965153,0.6888629425297933,TRUE,TRUE,FALSE
1110,872,prediction,GROSSCON,1,,,,,,,,,,,,,,
1110,873,prediction,GROSSCON,27,1.0171,0.8902495747898976,0.8927452911428446,11.548825163796252,1.0403364675903595,-0.05142641583869638,1.0768578317465067,0.3080399396288911,0.26728545536248255,-0.04075448426640854,0.8676974021112093,TRUE,TRUE,FALSE
1110,874,prediction,GROSSCON,12,0.9781,0.8978453699555067,0.9044941072913103,7.974250753477122,1.0023636982579187,0.004918007146724157,1.0501557735619496,0.19630059293632382,0.18751584902478888,-0.008784743911534942,0.9552485105616336,TRUE,TRUE,TRUE
1110,875,prediction,GROSSCON,46,1.0218,0.9621916533063378,0.8435268934796359,9.699438425770072,1.0373620634699503,-0.061957482745043195,1.1162327151544111,0.3088515716724771,0.266925488154925,-0.041926083517552115,0.864251675034334,TRUE,TRUE,FALSE
1110,876,prediction,GROSSCON,5,0.9852,0.5748182905913287,0.48999999999999977,13.133823287100203,1.061684345186644,-0.16690502755836611,1.0939125103257088,0.22770784012450296,0.13798729633852708,-0.08972054378597588,0.6059839497097697,TRUE,TRUE,FALSE
