NBHD_NAME,NEIGHBORHOOD,NBHD,boro,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
WESTCHESTER,2360,WESTCHESTR,2,prediction,GROSSCON,6,,,,,,,,,,,,,,
WILLIAMSBRIDGE,2370,WLMSBRIDGE,2,prediction,GROSSCON,6,,,,,,,,,,,,,,
WOODLAWN,2380,WOODLAWN,2,prediction,GROSSCON,42,0.9812,0.38982541645868396,0.4701232593161305,18.240258921859443,1.0494491296739892,-0.40969014574327595,1.4487829014660327,0.1552962169693806,0.06275202713415798,-0.09254418983522261,0.4040795607180222,TRUE,FALSE,FALSE
BATH BEACH,3010,BATH BEACH,3,prediction,GROSSCON,41,1.0044,0.48297167357959286,0.2606041978396043,12.02371158197291,1.0328196247459873,-0.3980851057548653,1.390113331068842,0.13104050003004075,0.05754911162096598,-0.07349138840907476,0.43917042141759965,TRUE,TRUE,FALSE
BAY RIDGE,3020,BAY RIDGE,3,prediction,GROSSCON,392,0.9984,0.7012500363690777,0.6709301644296843,13.880327351789992,1.0358859131483555,-0.14399187864950125,1.220537202859966,0.19341931002839963,0.13584167548496823,-0.0575776345434314,0.7023170306264803,TRUE,TRUE,FALSE
BENSONHURST,3040,BENSONHRST,3,prediction,GROSSCON,15,1.0283,0.3261179152970753,0.21889030612244892,16.34871040323009,1.0376749921699435,-0.39063986525355404,1.5162774716798262,0.13906131967024676,0.05899263486732783,-0.08006868480291893,0.4242203008515657,TRUE,FALSE,FALSE
BOERUM HILL,3060,BOERUM HIL,3,prediction,GROSSCON,24,0.942,0.7476343419741021,0.6657368207070022,19.992494281669146,1.0316488179002097,-0.026976806747889825,0.9098075822389811,0.22093388172767625,0.18510370143332233,-0.03583018029435392,0.8378239679031291,TRUE,FALSE,TRUE
BOROUGH PARK,3070,BOROUGH PK,3,prediction,GROSSCON,28,0.9128,0.7022537269340213,0.7477608332363607,17.213262568037514,1.0124338307324883,-0.008623846034595432,1.0072309675839595,0.16711470750626795,0.15712463912377547,-0.009990068382492473,0.940220292207867,TRUE,FALSE,TRUE
BRIGHTON BEACH,3080,BRIGHTON,3,prediction,GROSSCON,134,0.9937,0.7277908725426491,0.7273725109406397,14.514630358276614,1.0423231376501136,-0.14087198295252923,1.1623832781184684,0.21465980011908892,0.1542003791206292,-0.06045942099845972,0.7183477252614693,TRUE,TRUE,FALSE
BROOKLYN HEIGHTS,3090,BKLYN HTS,3,prediction,GROSSCON,285,0.9715,0.7467651442758524,0.7377237448774027,23.017946472059876,1.0864789751107216,-0.09992643241064175,1.087522193603952,0.3344813291688165,0.2645176569252178,-0.06996367224359873,0.790829364325184,TRUE,FALSE,FALSE
CARROLL GARDENS,3140,CARLL GRDN,3,prediction,GROSSCON,29,0.9717,0.5851461891496935,0.740375580871796,18.723930368383414,1.0526092329567749,-0.09623417274924284,1.115732988313627,0.23048343253156978,0.16693488876945176,-0.06354854376211802,0.7242815109783926,TRUE,FALSE,FALSE
CLINTON HILL,3150,CLINTON HL,3,prediction,GROSSCON,210,0.9851,0.7588140748785751,0.709353772636894,13.190598502091087,1.0317931114619423,-0.11473544294584118,1.0875054501972248,0.18276248478622853,0.14677222707979679,-0.035990257706431744,0.8030763384043044,TRUE,TRUE,FALSE
COBBLE HILL,3160,COBBLE HL,3,prediction,GROSSCON,24,0.9275,0.7404824439660774,0.7317149233125935,27.22929706962851,1.0604049128472086,-0.01430319892790366,0.9217198314763713,0.30032213482917697,0.2518550352016777,-0.04846709962749929,0.838616292285391,TRUE,FALSE,TRUE
CONEY ISLAND,3170,CONEY ISL,3,prediction,GROSSCON,89,1.0317,0.8326424104487251,0.7821140924815599,6.009111272596341,1.0109554178066626,-0.15227513338713075,1.2189653005665984,0.1155085850105433,0.08492769836279439,-0.03058088664774891,0.7352500972550432,TRUE,TRUE,TRUE
CROWN HEIGHTS,3180,CROWN HTS,3,prediction,GROSSCON,30,1.0302,0.5504998572619068,0.5610808227468101,30.094068488836772,1.113168059559244,-0.3758130716160299,1.5624134477714862,0.23785146826859058,0.14062031376948217,-0.09723115449910841,0.5912106189342021,TRUE,FALSE,FALSE
CYPRESS HILLS,3190,CYPRSS HLS,3,prediction,GROSSCON,1,,,,,,,,,,,,,,
DOWNTOWN-FULTON MALL,3200,DTN-MALL,3,prediction,GROSSCON,43,1.0376,0.47314157700436604,0.7070876926696835,18.014906052435347,1.0580085239138932,-0.33003165019369823,1.728060502657318,0.19157609476506574,0.09892344093019555,-0.09265265383487019,0.5163663089150433,TRUE,FALSE,FALSE
DOWNTOWN-METROTECH,3201,DTN-TECH,3,prediction,GROSSCON,75,1.0618,0.7474425581226186,0.719468983119805,12.31960101166899,1.0366847495477032,-0.10356855666503349,1.146701686043765,0.2283569030577043,0.17655971877010226,-0.05179718428760205,0.77317443180374,TRUE,TRUE,FALSE
DOWNTOWN-FULTON FERRY,3202,DTN-FERRY,3,prediction,GROSSCON,5,,,,,,,,,,,,,,
DYKER HEIGHTS,3210,DYKER HTS,3,prediction,GROSSCON,1,,,,,,,,,,,,,,
