block,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
1518,prediction,GROSSCON,14,0.9143,0.8784880211295175,0.6505929235599566,19.5444419893355,1.0354530850785781,-0.03131406519708838,1.010419411332163,0.3204954435182556,0.2895761132833791,-0.030919330234876474,0.9035264592361817,TRUE,FALSE,TRUE
1519,prediction,GROSSCON,39,1.1329,0.8457189210810541,0.7596688097676559,20.27342816018511,1.0887549031969386,-0.06761491415943137,1.0866566792969612,0.41614342449492314,0.3633841760289293,-0.052759248465993835,0.8732185939738728,FALSE,FALSE,FALSE
1520,prediction,GROSSCON,19,0.9734,0.7573556598096983,0.6196640635830137,14.205929564836786,1.029599173960897,-0.06276684430599792,0.9771441954638626,0.20216044668061078,0.16153630851854797,-0.04062413816206281,0.7990500177997526,TRUE,TRUE,TRUE
1521,prediction,GROSSCON,18,0.9955,0.8896903337362142,0.8645737149892274,23.887443208550472,1.0523660454807915,-0.045300658516267835,1.0509212509976502,0.3580019123844601,0.33558061937504075,-0.022421293009419363,0.9373710244727939,TRUE,FALSE,TRUE
1522,prediction,GROSSCON,34,1.0746,0.6923702535374031,0.6823538428179416,20.463889892869144,1.1124582011210804,-0.09372268674965807,1.192545670646662,0.4113440562991646,0.33438132678466725,-0.07696272951449734,0.8128993762376782,TRUE,FALSE,FALSE
1523,prediction,GROSSCON,12,0.9453,0.8829441393501991,0.8137806249694364,18.96920696475562,1.0365299712240401,-0.01621037095497409,0.9940282998474101,0.2840336377246378,0.24539206002273403,-0.03864157770190377,0.8639542203118715,TRUE,FALSE,TRUE
1524,prediction,GROSSCON,3,,,,,,,,,,,,,,
1525,prediction,GROSSCON,31,1.1236,0.39661331036577485,0.609023051698786,22.035561174861883,1.1779497456547956,-0.14884712948285755,1.1497346802538324,0.3585941057056687,0.2089813809489833,-0.14961272475668538,0.582779743514562,FALSE,FALSE,FALSE
1527,prediction,GROSSCON,9,1.1383,0.39370292649197774,0.5377777777777777,26.596313372523223,1.299772700289713,-0.4236933600560922,1.9217174537444615,0.3569399630456965,0.127213494093883,-0.22972646895181348,0.3564002556855668,FALSE,FALSE,FALSE
1529,prediction,GROSSCON,29,0.9847,0.8539796930842644,0.7725965559173583,17.86032262239481,1.1052623327125863,-0.14075690877666272,1.2412488684713117,0.3561553430602699,0.2740337469312955,-0.0821215961289744,0.7694219735036307,TRUE,FALSE,FALSE
1532,prediction,GROSSCON,18,0.9894,0.8517356057139286,0.8569141849341986,21.440009011419896,1.113157443791129,-0.16255136072635187,1.2160250165893074,0.3283821922054193,0.2221462804164178,-0.10623591178900152,0.6764869889091133,TRUE,FALSE,FALSE
1533,prediction,GROSSCON,27,1.098,0.6490552967119942,0.7692701693192256,20.675367692376195,1.076498111095703,-0.06874209558379844,1.081109938492705,0.2946587518323182,0.21095481293528529,-0.08370393889703293,0.7159292287212754,TRUE,FALSE,FALSE
1534,prediction,GROSSCON,13,1.0959,0.5910955980165782,0.31360536969955244,10.506523634006916,1.0016416286645857,0.17612899708547577,0.7802382949691881,0.09229711989991457,0.07882108781887832,-0.013476032081036246,0.8539929296206704,TRUE,TRUE,TRUE
1535,prediction,GROSSCON,16,1.0404,0.6280848201546448,0.8206228373702422,18.11963390082599,1.0232569906662705,0.03700400037430032,0.9177499886387863,0.3677830859292224,0.332470343352699,-0.03531274257652339,0.9039848651894798,TRUE,FALSE,TRUE
1540,prediction,GROSSCON,5,,,,,,,,,,,,,,
1542,prediction,GROSSCON,47,1.054,0.8271768515860678,0.8923728944364333,14.818151574382094,1.0593619111594446,-0.10346831728050998,1.2081181237715652,0.30838450929398764,0.2528011465201466,-0.055583362773841016,0.8197595498519268,TRUE,TRUE,FALSE
1543,prediction,GROSSCON,10,1.0865,0.10953224200885635,0.03529843893480257,24.628352132329972,1.1575387740497032,-0.7860326518339601,5.841082288935036,0.21025530817501928,-0.021290658438973507,-0.2315459666139928,-0.10126097944338644,TRUE,FALSE,FALSE
1544,prediction,GROSSCON,19,1.1012,0.7587162687818233,0.8588142876946536,11.55624023549451,1.053415080905611,-0.24458397493877826,1.4572184038033713,0.21057825500006674,0.13110567327753486,-0.07947258172253188,0.6225983460518908,FALSE,TRUE,FALSE
1545,prediction,GROSSCON,8,1.0149,0.5166923640172449,0.0012908777969018932,18.367011281785,1.0209528523421076,-0.0310472338188202,0.8184190880375561,0.124484654145671,0.05993794434178845,-0.06454670980388255,0.48148862004829546,TRUE,FALSE,TRUE
1546,prediction,GROSSCON,5,,,,,,,,,,,,,,
1547,prediction,GROSSCON,11,1.049,0.7898288671427999,0.6843801652892562,14.396739353276066,1.0480291151317818,-0.09308154406684858,1.232696230125255,0.25606310219160294,0.19225365507011105,-0.06380944712149189,0.7508057717986032,TRUE,TRUE,FALSE
1548,prediction,GROSSCON,3,,,,,,,,,,,,,,
1549,prediction,GROSSCON,9,1.0725,0.45227756218546,0.3731792717086834,23.61100707846584,1.1555012486518337,-0.4192151022825406,2.11901815368949,0.2531516013879528,0.06967494640403969,-0.18347665498391308,0.2752301230647299,TRUE,FALSE,FALSE
1550,prediction,GROSSCON,28,1.0045,0.3130276723567734,0.5902916093737055,13.275687321230519,1.0437755394947068,-0.12398033724115601,1.2658065579576339,0.16995052287511495,0.10379882712056787,-0.06615169575454707,0.6107590924968355,TRUE,TRUE,FALSE
1551,prediction,GROSSCON,15,0.8888,0.31120824839990896,0.7056606184513159,22.290918526468683,1.2075082789381544,-0.3487764906269156,1.5875606653714702,0.3213661043003865,0.13735467749805774,-0.18401142680232874,0.4274087268695579,FALSE,FALSE,FALSE
1552,prediction,GROSSCON,10,0.992,0.1837502222413235,0.05368828078524691,15.250019779831542,1.0024044186447816,0.6004898472806056,0.566008303577244,0.052403677451049194,0.021095429781610876,-0.03130824766943832,0.402556286270488,TRUE,FALSE,TRUE
1553,prediction,GROSSCON,1,,,,,,,,,,,,,,
1555,prediction,GROSSCON,31,1.0289,0.5345139871261942,0.14243677555171327,17.43047792763791,1.0166823906317437,0.08613307032380092,0.963757993594034,0.14039071869664835,0.08233525510635695,-0.0580554635902914,0.5864722103479237,TRUE,FALSE,TRUE
1556,prediction,GROSSCON,25,1.0944,0.28709700941474436,0.3295242065486251,14.755376707115134,1.0434211288951971,-0.32729914058701404,1.7763956191183354,0.13768851536908983,0.05371740716631493,-0.0839711082027749,0.3901371659235287,TRUE,TRUE,FALSE
1559,prediction,GROSSCON,14,1.1144,0.9177545956443274,0.7159763313609467,10.14778133111977,1.021049594473914,-0.08372083986301519,1.1943605389851404,0.20098016390389262,0.16465400773170252,-0.036326156172190094,0.8192550176764657,FALSE,TRUE,TRUE
1560,prediction,GROSSCON,5,,,,,,,,,,,,,,
1562,prediction,GROSSCON,10,1.1405,0.4487242306678897,0.6112396694214874,15.540537031511438,1.0543146327268782,-0.4779492239423955,2.5474046106376353,0.16183310533515732,0.059123151936881335,-0.10270995339827599,0.3653341003031298,FALSE,FALSE,FALSE
1563,prediction,GROSSCON,9,0.9772,0.26695971925224365,0.34027777777777785,20.069696123581917,1.0447284651511475,-0.11588560881993992,1.222567099859551,0.17552358824789493,0.08642811335056165,-0.08909547489733328,0.49240170061073363,TRUE,FALSE,FALSE
1564,prediction,GROSSCON,24,1.0897,0.4562332307160255,0.33966448082089895,17.97460122604112,1.1342576914745548,-0.21783978055005743,1.4047911698948552,0.2765213766101941,0.11619293667966228,-0.1603284399305318,0.4201951332082974,TRUE,FALSE,FALSE
1565,prediction,GROSSCON,36,1.1032,0.6672361047958106,0.8641076492699369,12.769517708126585,1.040930629979888,-0.004799606993471258,1.0319721817805994,0.2684950491852967,0.21879639125556988,-0.04969865792972683,0.8148991645077662,FALSE,TRUE,TRUE
1566,prediction,GROSSCON,44,1.0461,0.5848735920575975,0.8294200488261836,15.986193021345056,1.072046550613571,-0.10563160791310028,1.1524448133339122,0.3130492842246349,0.24906841108750122,-0.06398087313713369,0.7956204458489581,TRUE,FALSE,FALSE
1567,prediction,GROSSCON,9,1.0363,0.08542959859460464,0.433271613730238,3.4668713416484676,1.00043270154618,0.6990643242884846,0.8266424881294527,0.017504860876480857,0.011681896583493846,-0.005822964292987011,0.6673515811364935,TRUE,FALSE,TRUE
1568,prediction,GROSSCON,2,,,,,,,,,,,,,,
1569,prediction,GROSSCON,14,1.1138,0.6949296965862484,0.7613041903151794,22.60022079208742,1.11452203523557,-0.16753946833074537,1.2900703211649567,0.33879139144945775,0.28492002989313747,-0.053871361556320274,0.8409895796766222,FALSE,FALSE,FALSE
1570,prediction,GROSSCON,6,1.2493,0.42455940693831645,0.6306228373702422,7.789868934754855,0.998606844105792,0.6162309375590888,0.6385305220844908,0.031102531102531177,0.048584865885610874,0.017482334783079697,1.5620872052325334,FALSE,TRUE,TRUE
1576,prediction,GROSSCON,37,1.0647,0.7074794915238697,0.6753780476931132,16.249608191057856,1.0439446027944632,-0.05925061198617651,1.1350238884786046,0.28210297663830863,0.23719045598448218,-0.04491252065382645,0.8407938789266661,TRUE,FALSE,FALSE
1578,prediction,GROSSCON,8,1.2569,0.39630717164699614,0.655328798185941,14.150353567055884,1.1602756918787642,-0.41552151782421165,2.1028931564984497,0.24337482525382326,0.07174685247019474,-0.1716279727836285,0.2947998109310102,FALSE,TRUE,FALSE
1579,prediction,GROSSCON,44,1.0324,0.789003481193235,0.868385145897841,17.516659384941484,1.0442908565395002,-0.031510241664629964,1.0731446219695848,0.3959676478850243,0.36444468584880174,-0.03152296203622257,0.9203900566003418,TRUE,FALSE,TRUE
1580,prediction,GROSSCON,20,1.0219,0.4081925788757801,0.5502882013380839,16.346910269424463,1.0784360094607954,-0.19735363221888857,1.3597301434736888,0.22806033519553068,0.13109213769341715,-0.09696819750211352,0.5748134044485356,TRUE,FALSE,FALSE
1581,prediction,GROSSCON,3,,,,,,,,,,,,,,
1582,prediction,GROSSCON,15,0.8948,0.9282753117783862,0.9574640287769784,18.36145773789314,1.1251308702587235,-0.23707258436245995,1.3738473618515925,0.3449921309411394,0.2706518124956041,-0.07434031844553529,0.7845159011519054,FALSE,FALSE,FALSE
1583,prediction,GROSSCON,15,0.9636,0.7351917082157693,0.42093342703807807,18.16576367808404,1.0151249575329129,0.0644122374800984,0.917567832703695,0.2241219645043408,0.18418675244252944,-0.03993521206181136,0.8218148223440283,TRUE,FALSE,TRUE
1584,prediction,GROSSCON,13,1.0315,0.9217638904485472,0.6994217903308811,7.534212276666345,0.9999689365086027,0.06734182269110432,0.8914432152716107,0.14547970253373285,0.14842496313842965,0.0029452606046967977,1.0202451651563824,TRUE,TRUE,TRUE
1585,prediction,GROSSCON,15,1.2135,0.5028296215088076,0.7844897959183671,22.57430906225679,1.0859435682530347,0.0020694450923973828,1.0494031616757913,0.42012578616352203,0.3531321796944508,-0.06699360646907121,0.8405391702308036,FALSE,FALSE,TRUE
1586,prediction,GROSSCON,28,0.8354,0.5021625821756974,0.4785465127180138,33.840229949033485,1.1477576983374487,-0.17512933863473173,1.2183570336380765,0.3279894197943903,0.1941505214980432,-0.13383889829634707,0.5919414157314956,FALSE,FALSE,FALSE
