"grosscondecile","predicted","actual","n","median_sales_ratio","r","spearmans","cod","prd","prb","clapp","gini","ci","ki","mki","accuracy","uniformity","vertical_equity","boro","cutoff"
"2","unlogpred","grosscon",527,0.9985,0.209909571874569,0.488829531482365,5.11927638688031,1.00027207571221,0.611916319532308,0.722260279761245,0.0349486758841507,0.0325996170409259,-0.00234905884322474,0.932785469440631,TRUE,TRUE,TRUE,3,"$605,859"
"3","unlogpred","grosscon",527,0.9919,0.344852162388018,0.476394884584701,4.87033239340238,0.999634952221156,0.557502665181057,0.607199013012595,0.0273343736008763,0.0317676531310202,0.00443327953014384,1.1621869809375,TRUE,FALSE,TRUE,3,"$715,000"
"4","unlogpred","grosscon",527,0.9887,0.267524936809648,0.333248106812829,5.46889706182774,1.00006416834663,0.541681293714817,0.602550698110635,0.0281604197294265,0.0272623663871942,-0.000898053342232318,0.968109376534119,TRUE,TRUE,TRUE,3,"$850,000"
"5","unlogpred","grosscon",527,0.9891,0.274758938049786,0.343388413000138,5.26744083172519,0.999804783483727,0.623162546228692,0.530273886674052,0.0244619613323068,0.0268544695078144,0.00239250817550754,1.09780524721653,TRUE,TRUE,TRUE,3,"$980,000"
"6","unlogpred","grosscon",527,0.9806,0.162770761580091,0.210444667796081,6.10013979108845,1.00061370790127,0.588502671568575,0.591935947156581,0.028139980233303,0.0220977772043206,-0.00604220302898241,0.785280480693743,TRUE,TRUE,TRUE,3,"$1,149,095"
"7","unlogpred","grosscon",527,0.9647,0.222373619056205,0.248681840619938,5.81285360124245,1.0001287493057,0.604732748861785,0.538456183079058,0.0259165878722366,0.0238797287209628,-0.00203685915127381,0.921407124992106,TRUE,TRUE,TRUE,3,"$1,345,000"
"8","unlogpred","grosscon",527,0.9645,0.25454532722984,0.3798042173163,5.76677611116392,1.00041968718804,0.492854226820192,0.695625721661731,0.0349064668319752,0.0307588512153233,-0.0041476156166519,0.881179162685907,TRUE,TRUE,TRUE,3,"$1,650,000"
"9","unlogpred","grosscon",527,0.9807,0.445666454479965,0.475470706102008,6.31971447422598,0.999925771216761,0.340147804278753,0.679474680287926,0.0439633879001735,0.0443500725678299,0.000386684667656449,1.00879560666558,TRUE,TRUE,TRUE,3,"$2,150,000"
"10","unlogpred","grosscon",527,0.9577,0.784714107605627,0.77453595097822,6.87810558448199,1.00216040757265,0.0487239990988219,0.949204782879915,0.108970337723901,0.102069436112203,-0.0069009016116981,0.9366717424591,TRUE,TRUE,TRUE,3,"$4,300,000"
"All","unlogpred","grosscon",3137,0.971,0.982159808505435,0.975344372012885,5.50358870789938,1.0075217801165,-0.0248920227492593,1.03361355286493,0.218622638113603,0.208903731910343,-0.0097189062032601,0.955544831554865,TRUE,TRUE,TRUE,4,""
"1","unlogpred","grosscon",314,1.0125,0.529329553989875,0.574462009331613,7.31673899552254,1.00375924098934,0.0694858398213871,0.91711195976121,0.073962432375468,0.0619135032747216,-0.0120489291007464,0.837093931151691,TRUE,TRUE,TRUE,4,"$420,000"
"2","unlogpred","grosscon",314,0.9959,0.0883695199574918,0.137522168402105,6.33072481182352,1.00028328067424,0.8861851093969,0.500325749264726,0.0216979689937988,0.0171740829455911,-0.00452388604820777,0.791506474661261,TRUE,TRUE,TRUE,4,"$481,650"
"3","unlogpred","grosscon",314,0.9733,0.065584331830554,0.121576812836567,5.00263818959826,1.00027991657616,0.879171066867708,0.50195715630777,0.0163027304063035,0.0105860284197786,-0.00571670198652498,0.649340825490522,TRUE,TRUE,TRUE,4,"$531,527"
