"nbhd","predicted","actual","n","median_sales_ratio","r","spearmans","cod","prd","prb","clapp","gini","ci","ki","mki","accuracy","uniformity","vertical_equity","boro"
"3290","unlogpred","grosscon",373,0.9916,0.942341659550595,0.959887866112666,5.84701623193839,1.01185028502637,-0.0282595792926222,1.03962272881019,0.240895348016348,0.226700637751165,-0.0141947102651824,0.941075199741013,TRUE,TRUE,TRUE,3
"3320","unlogpred","grosscon",3,0.9721,0.965448324343844,0.25,1.97071770880452,1.00158095971272,-0.0748051941480576,1.09227027904787,0.0601543088792991,0.0495239673584062,-0.010630341520893,0.823282126934199,TRUE,FALSE,TRUE,3
"3330","unlogpred","grosscon",97,0.9823,0.941862432981125,0.937029921538004,3.81238052287126,1.00572457164537,-0.0479571918904379,1.05736315813654,0.137427032646212,0.125235049125279,-0.0121919835209336,0.911283949844713,TRUE,FALSE,TRUE,3
"3340","unlogpred","grosscon",25,0.8955,0.749471548092474,0.792977342519256,16.6849821078299,1.03171730676834,-0.153911668094859,1.18789204843739,0.188255450434151,0.161381170427896,-0.0268742800062547,0.857245673661624,FALSE,FALSE,FALSE,3
"3350","unlogpred","grosscon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"3360","unlogpred","grosscon",64,0.982,0.910482865864035,0.89230448032362,4.95803024848592,1.00595072374533,-0.0556473742123822,1.04189411759003,0.124428705746406,0.109090264267216,-0.0153384414791895,0.8767290764042,TRUE,FALSE,TRUE,3
"3380","unlogpred","grosscon",9,0.9886,0.972354324620497,0.772058823529412,2.59292651747895,1.00280545644636,-0.0628378147770569,1.05803287907557,0.0910573405615056,0.0817644911180804,-0.00929284944342514,0.897945081789994,TRUE,FALSE,TRUE,3
"3390","unlogpred","grosscon",50,0.9784,0.974448268958285,0.96114663730752,3.32420914203068,1.00609343471569,-0.0554435511876936,1.08919512886523,0.156616185502262,0.145881600853724,-0.0107345846485377,0.931459289382433,TRUE,FALSE,TRUE,3
"3400","unlogpred","grosscon",50,0.9723,0.963879476268611,0.907221148376746,6.83834309759659,1.01476156743265,-0.0539140631849782,1.10117047230065,0.22558728187337,0.201673434031855,-0.023913847841515,0.893992925297364,TRUE,TRUE,TRUE,3
"3401","unlogpred","grosscon",6,0.9847,0.996394711665244,0.888979591836735,2.12965136891899,1.00807640210688,-0.0251369603815689,1.02865990452614,0.240565339647773,0.233297946594668,-0.00726739305310503,0.96979035689952,TRUE,FALSE,TRUE,3
"3420","unlogpred","grosscon",227,0.9791,0.974815951020647,0.983243804539572,5.63691305632404,1.00778546566366,-0.0236807960704642,1.04169691649495,0.27802088253096,0.27155012714217,-0.00647075538878955,0.976725649778955,TRUE,TRUE,TRUE,3
"3430","unlogpred","grosscon",41,0.9995,0.939437505346662,0.92864706341512,5.87048106161018,1.01305879101875,-0.0753584358849253,1.11293688449632,0.172728582647095,0.153373534573756,-0.0193550480733385,0.887945308317135,TRUE,TRUE,TRUE,3
"3440","unlogpred","grosscon",91,0.9868,0.972826445484081,0.961538377443829,5.31614500414022,1.00791478124627,-0.0263784938818792,1.04687524095181,0.255832596669344,0.24797941104318,-0.00785318562616383,0.969303420563276,TRUE,TRUE,TRUE,3
"3460","unlogpred","grosscon",21,0.9607,0.702439933882838,0.528925619834711,11.7715456132437,1.02278160403387,-0.0686055590091431,1.17309355185052,0.168944557273872,0.116609392230356,-0.0523351650435156,0.690222840628856,TRUE,TRUE,TRUE,3
